날짜,기온,강수량
2022-09-20,20.0,0.0
2022-09-21,19.1,0.0
2022-09-22,19.4,0.0
2022-09-23,17.8,0.0
2022-09-24,18.1,3.3
2022-09-25,19.5,0.0
2022-09-26,19.8,0.0
2022-09-27,20.6,0.0
2022-09-28,20.3,0.0
2022-09-29,20.3,0.0
2022-09-30,20.5,0.0
2022-10-01,20.8,0.0
2022-10-02,19.4,0.0
2022-10-03,20.9,15.8
2022-10-04,18.4,76.0
2022-10-05,16.3,11.8
2022-10-06,15.7,0.1
2022-10-07,14.4,0.0
2022-10-08,15.4,0.0
2022-10-09,13.3,0.0
2022-10-10,10.0,20.4
2022-10-11,10.9,0.0
2022-10-12,13.1,0.0
2022-10-13,16.0,0.0
2022-10-14,16.8,0.0
2022-10-15,18.0,0.0
2022-10-16,17.0,0.0
2022-10-17,11.7,0.0
2022-10-18,9.3,0.0
2022-10-19,10.2,0.0
2022-10-20,12.6,0.0
2022-10-21,13.9,0.0
2022-10-22,12.1,0.0
2022-10-23,14.2,0.0
2022-10-24,10.6,0.0
2022-10-25,11.0,0.0
2022-10-26,12.5,0.0
2022-10-27,13.1,0.0
2022-10-28,13.4,0.0
2022-10-29,14.6,0.0
2022-10-30,14.7,0.0
2022-10-31,14.7,0.0
2022-11-01,13.2,0.0
2022-11-02,10.9,0.0
2022-11-03,9.3,0.0
2022-11-04,5.1,0.0
2022-11-05,6.1,0.0
2022-11-06,9.3,0.0
2022-11-07,11.1,0.0
2022-11-08,12.9,0.0
2022-11-09,11.2,0.0
2022-11-10,13.3,0.0
2022-11-11,15.3,0.0
2022-11-12,16.0,0.0
2022-11-13,11.1,57.9
2022-11-14,9.6,0.0
2022-11-15,7.9,0.0
2022-11-16,8.3,1.6
2022-11-17,9.9,0.0
2022-11-18,10.8,0.0
2022-11-19,12.6,0.0
2022-11-20,13.5,0.0
2022-11-21,11.8,0.0
2022-11-22,10.5,0.0
2022-11-23,10.8,0.0
2022-11-24,9.2,0.0
2022-11-25,11.9,0.0
2022-11-26,7.4,1.7
2022-11-27,4.9,0.0
2022-11-28,11.8,0.0
2022-11-29,7.8,19.5
2022-11-30,-5.0,3.8
2022-12-01,-5.6,0.0
2022-12-02,-2.9,0.0
2022-12-03,1.9,0.0
2022-12-04,-3.1,1.1
2022-12-05,-3.4,0.0
2022-12-06,0.4,0.0
2022-12-07,4.7,0.1
2022-12-08,3.7,0.1
2022-12-09,4.3,0.0
2022-12-10,2.5,0.0
2022-12-11,1.6,0.0
2022-12-12,1.7,0.0
2022-12-13,0.4,5.4
2022-12-14,-8.1,0.6
2022-12-15,-4.9,0.0
2022-12-16,-6.3,2.4
2022-12-17,-7.0,0.0
2022-12-18,-9.5,0.2
2022-12-19,-7.4,0.0
2022-12-20,-3.6,0.0
2022-12-21,-0.1,0.0
2022-12-22,-2.6,3.6
2022-12-23,-11.7,0.0
2022-12-24,-8.8,0.0
2022-12-25,-5.7,0.0
2022-12-26,-4.1,0.0
2022-12-27,-2.8,0.0
2022-12-28,-3.2,0.0
2022-12-29,-3.3,0.1
2022-12-30,-1.6,0.0
2022-12-31,-1.6,0.0
2023-01-01,0.0,0.0
2023-01-02,-4.4,0.0
2023-01-03,-5.2,0.0
2023-01-04,-2.2,0.0
2023-01-05,-1.7,0.0
2023-01-06,0.3,0.0
2023-01-07,1.5,3.9
2023-01-08,1.0,0.1
2023-01-09,3.1,0.0
2023-01-10,1.3,0.0
2023-01-11,2.5,0.0
2023-01-12,5.4,0.0
2023-01-13,8.4,0.0
2023-01-14,6.8,37.3
2023-01-15,0.3,1.6
2023-01-16,-4.4,3.2
2023-01-17,-3.9,0.0
2023-01-18,-1.9,0.0
2023-01-19,-0.6,0.0
2023-01-20,-2.7,1.0
2023-01-21,-4.9,0.0
2023-01-22,-2.7,0.0
2023-01-23,-0.7,0.0
2023-01-24,-13.8,0.0
2023-01-25,-11.9,0.0
2023-01-26,-6.2,0.0
2023-01-27,-7.1,0.8
2023-01-28,-6.3,0.0
2023-01-29,-2.2,0.0
2023-01-30,-0.9,0.0
2023-01-31,1.9,0.0
2023-02-01,1.5,0.0
2023-02-02,-2.4,0.0
2023-02-03,-1.8,0.0
2023-02-04,-0.5,0.0
2023-02-05,1.4,0.0
2023-02-06,2.8,0.0
2023-02-07,3.3,0.0
2023-02-08,2.2,0.0
2023-02-09,3.6,0.0
2023-02-10,4.1,0.0
2023-02-11,2.6,0.6
2023-02-12,3.5,0.0
2023-02-13,6.0,0.0
2023-02-14,1.8,0.0
2023-02-15,2.9,0.0
2023-02-16,2.3,0.0
2023-02-17,3.0,0.0
2023-02-18,5.4,0.0
2023-02-19,3.7,0.0
2023-02-20,-0.4,0.4
2023-02-21,-1.5,0.0
2023-02-22,0.4,0.0
2023-02-23,2.6,0.0
2023-02-24,3.5,0.0
2023-02-25,0.6,0.0
2023-02-26,1.9,0.0
2023-02-27,4.1,0.0
2023-02-28,4.0,0.0
2023-03-01,6.1,0.0
2023-03-02,2.3,0.0
2023-03-03,4.1,0.0
2023-03-04,7.5,0.0
2023-03-05,7.8,0.0
2023-03-06,8.9,0.0
2023-03-07,11.4,0.0
2023-03-08,12.3,0.0
2023-03-09,10.6,1.2
2023-03-10,12.9,3.7
2023-03-11,14.9,0.0
2023-03-12,6.7,0.0
2023-03-13,2.6,5.6
2023-03-14,8.7,0.0
2023-03-15,8.7,0.0
2023-03-16,4.5,0.0
2023-03-17,6.9,0.0
2023-03-18,7.8,0.0
2023-03-19,8.0,0.0
2023-03-20,9.2,0.0
2023-03-21,12.5,0.0
2023-03-22,11.7,0.0
2023-03-23,17.5,0.0
2023-03-24,12.5,0.0
2023-03-25,12.4,0.0
2023-03-26,9.5,0.0
2023-03-27,7.0,0.0
2023-03-28,8.8,0.0
2023-03-29,11.4,0.0
2023-03-30,13.0,0.0
2023-03-31,14.5,0.0
2023-04-01,17.0,0.0
2023-04-02,18.6,0.0
2023-04-03,18.8,0.0
2023-04-04,17.8,0.0
2023-04-05,12.0,6.9
2023-04-06,8.9,50.3
2023-04-07,8.8,2.7
2023-04-08,8.4,0.0
2023-04-09,10.3,0.0
2023-04-10,12.9,0.0
2023-04-11,13.1,0.0
2023-04-12,10.1,2.9
2023-04-13,11.6,0.0
2023-04-14,15.8,0.0
2023-04-15,13.7,0.0
2023-04-16,10.7,4.6
2023-04-17,12.7,0.0
2023-04-18,14.1,0.0
2023-04-19,18.3,1.5
2023-04-20,16.1,0.0
2023-04-21,16.6,0.5
2023-04-22,16.6,0.0
2023-04-23,15.9,0.0
2023-04-24,15.8,0.0
2023-04-25,10.9,0.0
2023-04-26,10.2,0.4
2023-04-27,12.3,0.0
2023-04-28,15.3,0.0
2023-04-29,13.5,1.9
2023-04-30,12.4,25.1
2023-05-01,14.4,0.1
2023-05-02,16.3,0.0
2023-05-03,19.1,0.0
2023-05-04,21.0,0.0
2023-05-05,18.9,0.0
2023-05-06,12.9,30.2
2023-05-07,14.3,47.5
2023-05-08,14.9,0.0
2023-05-09,16.6,0.0
2023-05-10,18.0,0.0
2023-05-11,19.2,0.0
2023-05-12,18.2,0.0
2023-05-13,17.6,0.0
2023-05-14,17.9,0.0
2023-05-15,20.0,0.0
2023-05-16,23.6,0.0
2023-05-17,23.3,0.0
2023-05-18,21.3,0.0
2023-05-19,22.1,1.3
2023-05-20,21.2,0.0
2023-05-21,17.7,0.0
2023-05-22,16.7,0.2
2023-05-23,20.3,0.0
2023-05-24,20.4,0.0
2023-05-25,20.9,0.0
2023-05-26,21.3,0.0
2023-05-27,19.4,0.5
2023-05-28,19.1,31.8
2023-05-29,22.8,41.8
2023-05-30,23.9,2.3
2023-05-31,22.7,0.0
2023-06-01,22.6,0.0
2023-06-02,20.5,0.0
2023-06-03,21.7,0.0
2023-06-04,21.8,0.0
2023-06-05,21.4,0.0
2023-06-06,20.2,0.0
2023-06-07,21.2,0.0
2023-06-08,20.6,0.0
2023-06-09,22.8,1.9
2023-06-10,23.1,1.2
2023-06-11,21.9,0.8
2023-06-12,22.0,32.2
2023-06-13,21.9,0.0
2023-06-14,20.5,0.0
2023-06-15,22.4,30.6
2023-06-16,23.4,0.0
2023-06-17,23.9,0.0
2023-06-18,25.6,0.0
2023-06-19,28.1,0.0
2023-06-20,25.0,0.0
2023-06-21,20.6,6.4
2023-06-22,22.0,24.9
2023-06-23,24.2,0.0
2023-06-24,26.2,0.0
2023-06-25,27.9,0.0
2023-06-26,24.5,0.0
2023-06-27,25.2,30.3
2023-06-28,26.3,2.5
2023-06-29,24.4,0.0
2023-06-30,25.1,63.8
2023-07-01,27.4,1.0
2023-07-02,26.6,0.0
2023-07-03,28.8,0.0
2023-07-04,26.3,0.0
2023-07-05,24.5,61.8
2023-07-06,26.9,15.3
2023-07-07,26.7,0.0
2023-07-08,25.4,0.0
